2025-03-13 14:46:25,098 INFO    MainThread:27654 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-13 14:46:25,099 INFO    MainThread:27654 [wandb_setup.py:_flush():67] Configure stats pid to 27654
2025-03-13 14:46:25,099 INFO    MainThread:27654 [wandb_setup.py:_flush():67] Loading settings from /Users/katherinezh/.config/wandb/settings
2025-03-13 14:46:25,099 INFO    MainThread:27654 [wandb_setup.py:_flush():67] Loading settings from /Users/katherinezh/cmu-gen-ai/hw0/handout/wandb/settings
2025-03-13 14:46:25,099 INFO    MainThread:27654 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-13 14:46:25,099 INFO    MainThread:27654 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/katherinezh/cmu-gen-ai/hw0/handout/wandb/run-20250313_144625-ni9c88b5/logs/debug.log
2025-03-13 14:46:25,099 INFO    MainThread:27654 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/katherinezh/cmu-gen-ai/hw0/handout/wandb/run-20250313_144625-ni9c88b5/logs/debug-internal.log
2025-03-13 14:46:25,099 INFO    MainThread:27654 [wandb_init.py:init():761] calling init triggers
2025-03-13 14:46:25,099 INFO    MainThread:27654 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {'code_path': 'code/hw0/handout/txt_classifier.py'}}
2025-03-13 14:46:25,099 INFO    MainThread:27654 [wandb_init.py:init():784] starting backend
2025-03-13 14:46:25,099 INFO    MainThread:27654 [wandb_init.py:init():788] sending inform_init request
2025-03-13 14:46:25,149 INFO    MainThread:27654 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-13 14:46:25,149 INFO    MainThread:27654 [wandb_init.py:init():798] backend started and connected
2025-03-13 14:46:25,153 INFO    MainThread:27654 [wandb_init.py:init():891] updated telemetry
2025-03-13 14:46:25,184 INFO    MainThread:27654 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-13 14:46:25,693 INFO    MainThread:27654 [wandb_init.py:init():990] starting run threads in backend
2025-03-13 14:46:25,730 INFO    MainThread:27654 [wandb_run.py:_console_start():2375] atexit reg
2025-03-13 14:46:25,730 INFO    MainThread:27654 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-13 14:46:25,730 INFO    MainThread:27654 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-13 14:46:25,730 INFO    MainThread:27654 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-13 14:46:25,732 INFO    MainThread:27654 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-13 14:46:27,842 INFO    MsgRouterThr:27654 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
